Id,Name,Area/Country,Available Seasons,Tier
2006,WC Qualification CAF,Africa,2,TIER_FOUR
2023,Primera B Nacional,Argentina,5,TIER_FOUR
2025,Supercopa Argentina,Argentina,2,TIER_FOUR
2149,Copa Liga Profesional,Argentina,2,TIER_FOUR
2147,WC Qualification AFC,Asia,2,TIER_FOUR
2026,FFA Cup,Australia,3,TIER_FOUR
2020,Erste Liga,Austria,4,TIER_FOUR
2027,ÖFB Cup,Austria,4,TIER_FOUR
2028,Coupe de Belgique,Belgium,4,TIER_FOUR
2033,Division 1B,Belgium,4,TIER_FOUR
2032,Playoffs II,Belgium,1,TIER_FOUR
2010,Supercoupe de Belgique,Belgium,3,TIER_FOUR
2034,LFPB,Bolivia,4,TIER_FOUR
2035,Premier Liga,Bosnia and Herzegovina,4,TIER_FOUR
2037,Copa do Brasil,Brazil,4,TIER_FOUR
2038,Série D,Brazil,3,TIER_FOUR
2036,Série C,Brazil,3,TIER_FOUR
2039,Kupa na Bulgarija,Bulgaria,4,TIER_FOUR
2040,A PFG,Bulgaria,4,TIER_FOUR
2041,Canadian Championship,Canada,3,TIER_FOUR
2043,Supercopa de Chile,Chile,3,TIER_FOUR
2042,Playoffs 1/2,Chile,1,TIER_FOUR
2044,Chinese Super League,China PR,4,TIER_FOUR
2045,Liga Postobón,Colombia,4,TIER_FOUR
2046,Superliga de Colombia,Colombia,2,TIER_FOUR
2047,Prva Liga,Croatia,4,TIER_FOUR
2049,Synot Liga,Czech Republic,4,TIER_FOUR
2051,DBU Pokalen,Denmark,4,TIER_FOUR
2141,Play Offs 1/2,Denmark,0,TIER_FOUR
2052,Copa Pilsener Serie A,Ecuador,4,TIER_FOUR
2056,FA Community Shield,England,5,TIER_FOUR
2053,National League,England,4,TIER_FOUR
2057,Meistriliiga,Estonia,4,TIER_FOUR
2154,UEFA Conference League,Europe,1,TIER_FOUR
2007,WC Qualification UEFA,Europe,2,TIER_FOUR
2058,UEFA Women's EURO,Europe,1,TIER_FOUR
2059,Suomen Cup,Finland,4,TIER_FOUR
2135,Coupe de la Ligue,France,3,TIER_FOUR
2144,Playoffs 2/3,France,1,TIER_FOUR
2136,Trophée des Champions,France,4,TIER_FOUR
2138,Coupe de France,France,4,TIER_FOUR
2143,Playoffs 1/2,France,1,TIER_FOUR
2133,Frauen Bundesliga,Germany,1,TIER_FOUR
2134,DFL Super Cup,Germany,4,TIER_FOUR
2131,Greek Cup,Greece,4,TIER_FOUR
2132,Super League,Greece,4,TIER_FOUR
2150,Souper Kap Ellados,Greece,1,TIER_FOUR
2130,Magyar Kupa,Hungary,4,TIER_FOUR
2127,Úrvalsdeild,Iceland,3,TIER_FOUR
2126,I-League,India,4,TIER_FOUR
2125,Ligat ha'Al,Israel,4,TIER_FOUR
2124,Supercoppa,Italy,4,TIER_FOUR
2123,Serie C,Italy,5,TIER_FOUR
2118,J.League Cup,Japan,3,TIER_FOUR
2117,J. League Division 2,Japan,4,TIER_FOUR
2120,Super Cup,Japan,4,TIER_FOUR
2116,Virslīga,Latvia,3,TIER_FOUR
2115,A Lyga,Lithuania,3,TIER_FOUR
2114,Premier League,Malta,4,TIER_FOUR
2111,Copa MX,Mexico,3,TIER_FOUR
2112,SuperCopa MX,Mexico,3,TIER_FOUR
2110,Johan Cruijff Schaal,Netherlands,3,TIER_FOUR
2108,League Cup,Northern Ireland,3,TIER_FOUR
2107,Premiership,Northern Ireland,3,TIER_FOUR
2105,1. divisjon,Norway,4,TIER_FOUR
2104,Playoffs 1/2,Norway,1,TIER_FOUR
2103,WC Qualification OFC,Oceania,1,TIER_FOUR
2102,Liga Panameña de Fútbol,Panama,5,TIER_FOUR
2099,Superpuchar Polski,Poland,4,TIER_FOUR
2100,Puchar Polski,Poland,4,TIER_FOUR
2098,Taça de Portugal,Portugal,4,TIER_FOUR
2096,Liga2 Cabovisão,Portugal,4,TIER_FOUR
2097,Supertaça Cândido de Oliveira,Portugal,4,TIER_FOUR
2095,Premier Division,Republic of Ireland,3,TIER_FOUR
2092,Liga II,Romania,4,TIER_FOUR
2093,Supercupa României,Romania,3,TIER_FOUR
2089,Russian Cup,Russia,4,TIER_FOUR
2088,FNL,Russia,4,TIER_FOUR
2090,Playoffs 1/2,Russia,1,TIER_FOUR
2091,Russian Super Cup,Russia,4,TIER_FOUR
2087,Scottish Cup,Scotland,4,TIER_FOUR
2085,Championship,Scotland,4,TIER_FOUR
2086,Playoffs 2/3,Scotland,1,TIER_FOUR
2083,ABSA Premiership,South Africa,4,TIER_FOUR
2080,Copa America,South America,3,TIER_FOUR
2081,Copa Sudamericana,South America,4,TIER_FOUR
2082,WC Qualification CONMEBOL,South America,2,TIER_FOUR
2078,Supercopa de España,Spain,4,TIER_FOUR
2074,Superettan,Sweden,4,TIER_FOUR
2075,Playoffs 2/3,Sweden,1,TIER_FOUR
2076,Playoffs 1/2,Sweden,1,TIER_FOUR
2151,Svenska Supercupen,Sweden,1,TIER_FOUR
2071,Schweizer Pokal,Switzerland,4,TIER_FOUR
2068,1. Lig,Turkey,4,TIER_FOUR
2069,TFF Süper Kupa,Turkey,4,TIER_FOUR
2065,Kubok Ukrainy,Ukraine,3,TIER_FOUR
2066,Playoffs 1/2,Ukraine,1,TIER_FOUR
2067,Superkubok Ukrainy,Ukraine,4,TIER_FOUR
2063,Primera División,Uruguay,3,TIER_FOUR
2148,Supercopa Uruguaya,Uruguay,1,TIER_FOUR
2062,Primera División,Venezuela,4,TIER_FOUR
2061,V-League,Vietnam,4,TIER_FOUR
2060,Welsh Premier League,Wales,4,TIER_FOUR
2155,WC Qualification CONCACAF,World,1,TIER_FOUR
2153,Summer Olympics,World,1,TIER_FOUR
